epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,808.118,0.61958,1.78296,0.88777,0.46741,0.52698,0.47507,0.38031,0.77355,1.61533,0.95599,0.00333089,0.00333089,0.00333089
2,1615.49,0.60883,1.04137,0.86795,0.47583,0.57975,0.51431,0.39926,0.82607,1.38731,0.98369,0.00662024,0.00662024,0.00662024
3,2418.39,0.64389,1.06183,0.88386,0.55536,0.58702,0.56358,0.4377,0.83844,1.27213,0.99828,0.00986559,0.00986559,0.00986559
4,3219.44,0.61789,1.01214,0.88164,0.5162,0.57347,0.50058,0.39619,0.79972,1.44489,0.98445,0.009802,0.009802,0.009802
5,4020.03,0.56339,0.8805,0.86717,0.60001,0.61436,0.62206,0.5023,0.75195,1.14298,0.96937,0.009736,0.009736,0.009736
6,4819.97,0.52932,0.78631,0.85608,0.64948,0.6142,0.63183,0.51239,0.74121,1.15037,0.98174,0.00967,0.00967,0.00967
7,5620.39,0.50384,0.70477,0.84839,0.61368,0.62194,0.62535,0.50997,0.74187,1.15777,0.97348,0.009604,0.009604,0.009604
8,6420,0.48788,0.63669,0.84336,0.59026,0.62034,0.62631,0.51286,0.7298,1.16545,0.96709,0.009538,0.009538,0.009538
9,7219.72,0.47379,0.58089,0.83852,0.5358,0.57776,0.55012,0.44207,0.75025,1.36836,0.9725,0.009472,0.009472,0.009472
10,8020.04,0.45997,0.53231,0.83375,0.62679,0.60092,0.61342,0.5036,0.72022,1.19457,0.97111,0.009406,0.009406,0.009406
11,8818.42,0.4495,0.48653,0.82997,0.64528,0.59303,0.63009,0.51745,0.72632,1.21672,0.96654,0.00934,0.00934,0.00934
12,9618.4,0.43801,0.44917,0.82573,0.62398,0.62745,0.63366,0.51942,0.73586,1.21242,0.9758,0.009274,0.009274,0.009274
13,10418.8,0.42983,0.42031,0.82403,0.61866,0.61111,0.61573,0.51165,0.7102,1.25713,0.96098,0.009208,0.009208,0.009208
14,11218.3,0.4198,0.39216,0.82053,0.62714,0.62109,0.6236,0.51658,0.72387,1.26126,0.97834,0.009142,0.009142,0.009142
15,12017.4,0.41279,0.36957,0.81884,0.59446,0.5929,0.58295,0.48189,0.71665,1.4242,0.96857,0.009076,0.009076,0.009076
16,12817.6,0.40532,0.3533,0.81559,0.59642,0.58756,0.58856,0.48891,0.72003,1.41867,0.96989,0.00901,0.00901,0.00901
17,13618.7,0.39713,0.33709,0.81333,0.51991,0.53776,0.49883,0.40813,0.76499,1.77028,0.99639,0.008944,0.008944,0.008944
18,14418.5,0.39057,0.32587,0.8112,0.56568,0.62518,0.5995,0.4961,0.72492,1.40156,0.97378,0.008878,0.008878,0.008878
19,15217.5,0.38342,0.31118,0.8091,0.63449,0.57639,0.60167,0.50199,0.70493,1.39831,0.96503,0.008812,0.008812,0.008812
20,16015.8,0.37484,0.29732,0.80639,0.61645,0.56623,0.5846,0.48658,0.71022,1.47787,0.96747,0.008746,0.008746,0.008746
21,16816.4,0.36958,0.29057,0.80479,0.63311,0.57435,0.59579,0.49751,0.70874,1.43304,0.97044,0.00868,0.00868,0.00868
22,17618.4,0.36288,0.2841,0.80247,0.63185,0.5582,0.58444,0.48725,0.71296,1.45475,0.97786,0.008614,0.008614,0.008614
23,18419.8,0.35609,0.27259,0.79994,0.61646,0.6074,0.61178,0.51546,0.70808,1.41052,0.97427,0.008548,0.008548,0.008548
24,19221.6,0.35066,0.26724,0.799,0.58922,0.60972,0.58908,0.49011,0.70877,1.44863,0.97843,0.008482,0.008482,0.008482
25,20023,0.34641,0.25769,0.79789,0.61662,0.59357,0.59142,0.49411,0.71105,1.48964,0.98059,0.008416,0.008416,0.008416
26,20822.1,0.34026,0.25435,0.79631,0.63038,0.56135,0.57753,0.48355,0.70491,1.54425,0.9785,0.00835,0.00835,0.00835
27,21621.3,0.33534,0.24878,0.79424,0.61222,0.57888,0.59533,0.4992,0.70935,1.53991,0.9836,0.008284,0.008284,0.008284
28,22419.4,0.33007,0.24797,0.79252,0.60696,0.61073,0.6037,0.50509,0.70497,1.45523,0.97991,0.008218,0.008218,0.008218
29,23217,0.32562,0.24347,0.79124,0.59151,0.59718,0.58331,0.48778,0.71899,1.55392,0.98765,0.008152,0.008152,0.008152
30,24015,0.32029,0.239,0.79052,0.62155,0.5751,0.58647,0.48993,0.71742,1.5456,0.98929,0.008086,0.008086,0.008086
31,24813.2,0.31576,0.23253,0.78932,0.59951,0.59817,0.58474,0.49036,0.71792,1.565,0.99164,0.00802,0.00802,0.00802
32,25611.4,0.3099,0.22876,0.78782,0.60935,0.57982,0.5817,0.48652,0.71766,1.60224,0.99412,0.007954,0.007954,0.007954
33,26410.1,0.30431,0.22476,0.78618,0.60806,0.5922,0.59269,0.49846,0.71365,1.56254,0.99338,0.007888,0.007888,0.007888
34,27208.5,0.29842,0.22147,0.78504,0.59922,0.61189,0.59876,0.50509,0.71577,1.54565,0.9928,0.007822,0.007822,0.007822
35,28007.7,0.29562,0.21956,0.78441,0.62888,0.6044,0.61271,0.51849,0.70693,1.47855,0.99079,0.007756,0.007756,0.007756
36,28806.7,0.29082,0.21414,0.78281,0.60463,0.60341,0.59964,0.50706,0.70772,1.53268,0.99308,0.00769,0.00769,0.00769
37,29607.1,0.28855,0.2102,0.78229,0.60322,0.58553,0.58043,0.48743,0.71106,1.59257,0.99304,0.007624,0.007624,0.007624
38,30408.3,0.28338,0.21151,0.7812,0.60186,0.58442,0.57537,0.48208,0.71588,1.61751,0.99778,0.007558,0.007558,0.007558
39,31208.9,0.28009,0.20773,0.77996,0.61324,0.57452,0.57393,0.48121,0.71347,1.61607,0.99724,0.007492,0.007492,0.007492
40,32007.6,0.27475,0.20184,0.77899,0.59157,0.60307,0.58398,0.49012,0.7127,1.59108,0.99567,0.007426,0.007426,0.007426
41,32804.3,0.27149,0.20275,0.77838,0.63257,0.57917,0.59821,0.503,0.7084,1.55255,0.99415,0.00736,0.00736,0.00736
42,33601.4,0.2669,0.19863,0.77719,0.62428,0.59358,0.60038,0.50565,0.70674,1.53628,0.99473,0.007294,0.007294,0.007294
